# GTID 	 name 	 time
GT0378	D10_a0.0_q2.05_m103_Qs	150.0
GT0379	D10_a0.0_q2.20_m103_Qs	150.0
GT0380	D10_a0.0_q2.35_m103_Qs	150.0
GT0382	fr_b3.1_a0.8_oth.000_M77	150.0
GT0384	fr_b3.1_a0.8_oth.030_M77	150.0
GT0385	fr_b3.1_a0.8_oth.060_M77	150.0
GT0388	fr_b3.1_a0.8_oth.090_M77	150.0
GT0389	D6.2_q1_a-0.6_m100	150.0
GT0390	fr_b3.1_a0.8_oth.120_M77	150.0
GT0391	fr_b3.1_a0.8_oth.150_M77	150.0
GT0392	D6.2_q1_a-0.8_m100	150.0
GT0393	fr_b3.1_a0.8_oth.180_M77	150.0
GT0395	fr_b3.1_a0.8_oth.210_M77	150.0
GT0396	fr_b3.1_a0.8_oth.240_M77	150.0
GT0397	fr_b3.1_a0.8_oth.255_M77	150.0
GT0398	fr_b3.1_a0.8_oth.270_M77	150.0
GT0400	fr_b3.1_a0.8_oth.300_M77	150.0
GT0401	fr_b3.1_a0.8_oth.330_M77	150.0
GT0405	D10_q1.25_a0.2_m100	150.0
GT0406	D10_q1.25_a0.4_m100	150.0
GT0407	D10_q1.25_a0.6_m100	150.0
GT0411	D10_q1.50_a0.6_m100	150.0
GT0413	D10_q1.75_a0.2_m100	150.0
GT0414	D10_q1.75_a0.4_m100	150.0
GT0415	D10_q1.75_a0.6_m100	150.0
GT0420	D11_q1.00_a0.2_m200	150.0
GT0422	D11_q1.00_a0.4_m200	150.0
GT0424	D11_q1.00_a0.8_m200	150.0
GT0428	Sq2_d6.2_a0.6_oth.000_rr_M140	150.0
GT0430	Sq4_d9_a0.6_oth.000_rr_M140	150.0
GT0431	Sq2_d6.2_a0.6_oth.030_rr_M140	150.0
GT0432	Sq4_d6.2_a0.6_oth.030_rr_M140	150.0
GT0433	Sq4_d9_a0.6_oth.090_rr_M140	150.0
GT0434	Sq2_d6.2_a0.6_oth.090_rr_M140	150.0
GT0435	Sq4_d9_a0.6_oth.150_rr_M140	150.0
GT0437	Sq2_d6.2_a0.6_oth.150_rr_M140	150.0
GT0438	Sq4_d9_a0.6_oth.180_rr_M140	150.0
GT0440	Sq2_d6.2_a0.6_oth.180_rr_M140	150.0
GT0441	Sq4_d9_a0.6_oth.210_rr_M140	150.0
GT0443	Sq2_d6.2_a0.6_oth.270_rr_M140	150.0
GT0446	D11_q2.00_a0.0_m200	150.0
GT0448	D11_q1.00_a0.0_m240	150.0
GT0453	D11_q3.00_a0.0_m200	150.0
GT0454	D11_q4.00_a0.0_m200	150.0
GT0455	RO3_D10_q1.50_a0.60_oth.045_M120	150.0
GT0456	RO3_D10_q1.50_a0.40_oth.060_M120	150.0
GT0457	RO3_D10_q1.50_a0.60_oth.060_M120	150.0
GT0458	RO3_D10_q2.00_a0.40_oth.060_M120	150.0
GT0459	RO3_D10_q2.50_a0.40_oth.045_M120	150.0
GT0460	RO3_D10_q2.00_a0.60_oth.045_M120	150.0
GT0461	RO3_D10_q2.00_a0.60_oth.060_M120	150.0
GT0462	RO3_D10_q2.50_a0.40_oth.060_M120	150.0
GT0463	RO3_D10_q2.00_a0.60_oth.090_M120	150.0
GT0464	RO3_D10_q2.50_a0.40_oth.090_M120	150.0
GT0465	RO3_D10_q2.50_a0.60_oth.045_M120	150.0
GT0466	RO3_D10_q2.50_a0.60_oth.060_M120	150.0
GT0467	RO3_D10_q2.50_a0.60_oth.090_M120	150.0
GT0468	RO3_D10_q4.00_a0.60_oth.045_M120	150.0
GT0469	RO3_D10_q4.00_a0.60_oth.060_M120	150.0
GT0470	RO3_D10_q4.00_a0.60_oth.090_M120	150.0
GT0471	D11_q2.00_a0.2_m160	150.0
GT0472	D11_q2.00_a0.4_m160	150.0
GT0475	D11_q2.50_a0.2_0.00_m160	150.0
GT0476	D11_q1.00_a-0.2_m200	150.0
GT0477	D11_q1.50_a0.0_m200	150.0
GT0478	RO3_D10_q4.00_a0.40_oth.060_M120	150.0
GT0479	D11_q1.50_a0.2_m200	150.0
GT0480	D11_q2.50_a0.4_0.00_m160	150.0
GT0482	EK_D6.2_a0.6_th030_M77	150.0
GT0483	EK_D6.2_a0.6_th045_M77	150.0
GT0484	EK_D6.2_a0.6_th060_M77	150.0
GT0485	EK_D6.2_a0.6_th090_M77	150.0
GT0486	EK_D6.2_a0.6_th120_M77	150.0
GT0487	EK_D6.2_a0.6_th150_M77	150.0
GT0489	EK_D6.2_a0.6_th210_M77	150.0
GT0490	EK_D6.2_a0.6_th240_M77	150.0
GT0491	EK_D6.2_a0.6_th270_M77	150.0
GT0492	EK_D6.2_a0.6_th300_M77	150.0
GT0493	EK_D6.2_a0.6_th330_M77	150.0
GT0500	LZ_D6.2_a0.6_th034_ph000_M77	150.0
GT0501	LZ_D6.2_a0.6_th034_ph030_M77	150.0
GT0502	LZ_D6.2_a0.6_th034_ph045_M77	150.0
GT0503	LZ_D6.2_a0.6_th034_ph060_M77	150.0
GT0504	LZ_D6.2_a0.6_th034_ph090_M77	150.0
GT0505	LZ_D6.2_a0.6_th034_ph120_M77	150.0
GT0506	LZ_D6.2_a0.6_th034_ph150_M77	150.0
GT0507	LZ_D6.2_a0.6_th034_ph180_M77	150.0
GT0508	LZ_D6.2_a0.6_th034_ph210_M77	150.0
GT0509	LZ_D6.2_a0.6_th034_ph240_M77	150.0
GT0510	LZ_D6.2_a0.6_th034_ph270_M77	150.0
GT0511	LZ_D6.2_a0.6_th034_ph300_M77	150.0
GT0512	LZ_D6.2_a0.6_th034_ph330_M77	150.0
GT0513	SSaP_D6.2_a0.6_th066_ph000_M77	150.0
GT0514	SSaP_D6.2_a0.6_th066_ph030_M77	150.0
GT0515	SSaP_D6.2_a0.6_th066_ph060_M77	150.0
GT0516	SSaP_D6.2_a0.6_th066_ph090_M77	150.0
GT0517	SSaP_D6.2_a0.6_th066_ph120_M77	150.0
GT0518	SSaP_D6.2_a0.6_th066_ph150_M77	150.0
GT0520	SS_D6.2_a0.6_th015_M103	150.0
GT0521	SS_D6.2_a0.6_th030_M103	150.0
GT0522	SS_D6.2_a0.6_th045_M103	150.0
GT0523	SS_D6.2_a0.6_th060_M103	150.0
GT0524	SS_D6.2_a0.6_th075_M103	150.0
GT0525	SS_D6.2_a0.6_th090_M103	150.0
GT0526	SS_D6.2_a0.6_th105_M103	150.0
GT0527	SS_D6.2_a0.6_th120_M103	150.0
GT0528	SS_D6.2_a0.6_th135_M103	150.0
GT0529	SS_D6.2_a0.6_th150_M103	150.0
GT0530	SS_D6.2_a0.6_th165_M103	150.0
GT0532	SS_D6.2_a0.6_th195_M103	150.0
GT0533	SS_D6.2_a0.6_th210_M103	150.0
GT0534	SS_D6.2_a0.6_th225_M103	150.0
GT0535	SS_D6.2_a0.6_th240_M103	150.0
GT0536	SS_D6.2_a0.6_th255_M103	150.0
GT0537	SS_D6.2_a0.6_th270_M103	150.0
GT0538	SS_D6.2_a0.6_th285_M103	150.0
GT0539	SS_D6.2_a0.6_th300_M103	150.0
GT0540	SS_D6.2_a0.6_th315_M103	150.0
GT0541	SS_D6.2_a0.6_th330_M103	150.0
GT0542	SS_D6.2_a0.6_th345_M103	150.0
GT0543	D9_q1.50_a0.1_m200	150.0
GT0544	D10_q4_a0.6_th90_m120	150.0
GT0545	RO3_D10_q2.00_a0.60_oth.180_M120	150.0
GT0546	D11_q1.00_a0.00_0.20_m160	150.0
GT0547	D11_q1.00_a0.00_0.40_m160	150.0
GT0548	D11_q1.00_a0.00_0.60_m160	150.0
GT0549	D11_q1.00_a0.20_0.40_m160	150.0
GT0550	RO3_D10_q2.00_a0.60_oth.135_M120	150.0
GT0551	D11_q1.00_a0.00_0.80_m160	150.0
GT0554	D11_q1.00_a0.20_0.60_m160	150.0
GT0555	D11_q1.00_a0.20_0.80_m160	150.0
GT0556	RO3_D10_q2.00_a0.60_oth.270_M120	150.0
GT0557	Sq4_d9_a0.0_0.6_oth.090_rr_M140	150.0
GT0558	D11_q1.50_a0.4_m200	150.0
GT0560	Sq4_d9_a0.6_oth.270_rr_M180	150.0
GT0564	D11_q1.00_a-0.4_m200	150.0
GT0565	D11_q2.50_a0.0_m200	150.0
GT0566	D11_q4.00_a-0.8_0.0_m160	150.0
GT0567	D6.2_q1.50_S0_m120	150.0
GT0568	D8.4_q10.00_a0.0_m400	150.0
GT0570	D10_q4.00_a0.2_0.0_m240	150.0
GT0573	D10_q4.00_a0.4_0.0_m240	150.0
GT0574	D11_q1.00_a0.1_m200	150.0
GT0577	D10_q5.00_a0.0_0.0_m240	150.0
GT0578	D10_q4.00_a0.6_0.0_m240	150.0
GT0579	D11_q1.00_a0.3_m200	150.0
GT0580	D11_q1.00_a0.5_m200	150.0
GT0582	D12_q2.00_a0.15_-0.60_m200	160.0
GT0583	D11_q1.00_a0.7_m200	150.0
GT0584	D12_q1.00_a0.60_m200	150.0
GT0587	D12_q2.00_a0.30_0.00_m200	160.0
GT0588	D11_q2.00_a0.60_m200	150.0
GT0590	D11_q3.00_a0.8_0.00_m200	150.0
GT0596	D10_q3.00_a0.4_0.0_m240	150.0
GT0598	D11_q3.00_a0.2_0.00_m200	150.0
GT0599	D10_q5.00_a0.2_0.0_m240	150.0
GT0600	D10_q3.00_a0.6_0.0_m240	150.0
GT0601	D7.5_q15.00_a0.0_CHgEEB_m800	150.0
GT0602	D10_q5.00_a0.4_0.0_m240	150.0
GT0603	D8_q3.00_a0.5_0.0_th000_ph000_m120	150.0
GT0604	D10_q6.00_a0.00_0.00_m280	150.0
GT0605	D8_q3.00_a0.5_0.0_th090_ph000_m120	150.0
GT0606	D8_q3.00_a0.5_0.0_th060_ph045_m120	150.0
GT0607	D8_q3.00_a0.5_0.0_th045_ph000_m120	150.0
GT0608	D10_q6.00_a0.20_0.00_m280	150.0
GT0609	D8_q3.00_a0.5_0.0_th120_ph045_m120	150.0
GT0610	D10_q6.00_a0.40_0.00_m280	150.0
GT0611	D10_q5.00_a0.6_0.0_m240	150.0
GT0612	D10_q6.00_a0.60_0.00_m280	150.0
GT0613	D8_q3.00_a0.5_0.0_th045_ph120_m120	150.0
GT0615	D9_q1.7_a0.0_m160	150.0
GT0617	D9_q2.1_a0.0_m160	150.0
GT0618	D9_q1.8_a0.0_m160	150.0
GT0621	D9_q2.3_a0.0_m160	150.0
GT0622	D9_q2.4_a0.0_m160	150.0
GT0626	D8_q3.00_a0.5_0.0_th045_ph240_m120	150.0
GT0628	Sq_D6.2_q2.50_a0.6_th300_m140	150.0
GT0629	Eq_D7_q2.50_a0.6_ph000_m140	150.0
GT0630	Sq_D6.2_q2.50_a0.6_th315_m140	150.0
GT0632	Eq_D7_q2.50_a0.6_ph030_m140	150.0
GT0633	Eq_D7_q2.50_a0.6_ph060_m140	150.0
GT0634	Eq_D7_q2.50_a0.6_ph090_m140	150.0
GT0635	D8_q3.00_a0.5_0.0_th090_ph240_m120	150.0
GT0636	D8_q3.00_a0.5_0.0_th090_ph120_m120	150.0
GT0637	Eq_D7_q2.50_a0.6_ph270_m140	150.0
GT0638	Eq_D7_q2.50_a0.6_ph240_m140	150.0
GT0639	Eq_D7_q2.50_a0.6_ph210_m140	150.0
GT0640	Eq_D7_q2.50_a0.6_ph180_m140	150.0
GT0641	Eq_D7_q2.50_a0.6_ph120_m140	150.0
GT0642	Sq_D6.2_q2.50_a0.6_th120_m140	150.0
GT0643	Eq_D7_q2.50_a0.6_ph150_m140	150.0
GT0644	Sq_D6.2_q2.50_a0.6_th075_m140	150.0
GT0645	Sq_D6.2_q2.50_a0.6_th060_m140	150.0
GT0646	Sq_D6.2_q2.50_a0.6_th045_m140	150.0
GT0647	Sq_D6.2_q2.50_a0.6_th000_m140	150.0
GT0648	Sq_D6.2_q2.50_a0.6_th015_m140	150.0
GT0649	Sq_D6.2_q2.50_a0.6_th030_m140	150.0
GT0650	D9_q2.7_a0.0_m160	150.0
GT0651	D9_q2.6_a0.0_m160	150.0
GT0652	D9_q3.5_a0.0_m160	150.0
GT0653	D9_q2.8_a0.0_m160	150.0
GT0654	D9_q2.9_a0.0_m160	150.0
GT0656	D9_q4.5_a0.0_m160	150.0
GT0657	D8_q3.00_a0.5_0.0_th090_ph060_m120	150.0
GT0659	Sq_D6.2_q2.50_a0.6_th150_m140	150.0
GT0660	Sq_D6.2_q2.50_a0.6_th180_m140	150.0
GT0661	Lq_D6.2_q2.50_a0.6_th150_m140	150.0
GT0662	Sq_D6.2_q2.50_a0.6_th270_m140	150.0
GT0663	Sq_D6.2_q2.50_a0.6_th240_m140	150.0
GT0664	Eq_D7_q2.50_a0.6_ph330_m140	150.0
GT0665	Eq_D7_q2.50_a0.6_ph300_m140	150.0
GT0666	Sq_D6.2_q2.50_a0.6_th330_m140	150.0
GT0667	Sq_D6.2_q2.50_a0.6_th210_m140	150.0
GT0668	Sq_D6.2_q2.50_a0.6_th345_m140	150.0
GT0669	Lq_D6.2_q2.50_a0.6_th045_m140	150.0
GT0670	Lq_D6.2_q2.50_a0.6_th210_m140	150.0
GT0671	Lq_D6.2_q2.50_a0.6_th060_m140	150.0
GT0672	Lq_D6.2_q2.50_a0.6_th075_m140	150.0
GT0673	Lq_D6.2_q2.50_a0.6_th240_m140	150.0
GT0674	Lq_D6.2_q2.50_a0.6_th120_m140	150.0
GT0676	Lq_D6.2_q2.50_a0.6_th000_m140	150.0
GT0677	Lq_D6.2_q2.50_a0.6_th015_m140	150.0
GT0678	Lq_D6.2_q2.50_a0.6_th300_m140	150.0
GT0679	Lq_D6.2_q2.50_a0.6_th030_m140	150.0
GT0680	D8_q3.00_a0.5_0.0_th090_ph300_m120	150.0
GT0681	Lq_D6.2_q2.50_a0.6_th315_m140	150.0
GT0682	Lq_D6.2_q2.50_a0.6_th330_m140	150.0
GT0683	Lq_D6.2_q2.50_a0.6_th345_m140	150.0
GT0684	D8_q3.00_a0.5_0.0_th135_ph000_m120	150.0
GT0685	Sq_D6.2_q3.00_a0.6_th120_m140	150.0
GT0686	Sq_D6.2_q3.00_a0.6_th150_m140	150.0
GT0688	D10_q7.00_a0.20_0.00_m320	150.0
GT0689	Sq_D6.2_q3.00_a0.6_th030_m140	150.0
GT0690	Sq_D6.2_q3.00_a0.6_th045_m140	150.0
GT0691	Sq_D6.2_q3.00_a0.6_th060_m140	150.0
GT0692	Sq_D6.2_q3.00_a0.6_th075_m140	150.0
GT0693	Sq_D6.2_q3.00_a0.6_th090_m140	150.0
GT0694	Sq_D6.2_q3.00_a0.6_th000_m140	150.0
GT0695	Eq_D7_q3.00_a0.6_ph060_m140	150.0
GT0696	Eq_D7_q3.00_a0.6_ph090_m140	150.0
GT0697	Eq_D7_q3.00_a0.6_ph180_m140	150.0
GT0698	Sq_D6.2_q3.00_a0.6_th015_m140	150.0
GT0699	Eq_D7_q3.00_a0.6_ph270_m140	150.0
GT0701	Eq_D7_q3.00_a0.6_ph150_m140	150.0
GT0702	Eq_D7_q3.00_a0.6_ph240_m140	150.0
GT0703	Eq_D7_q3.00_a0.6_ph300_m140	150.0
GT0704	Eq_D7_q3.00_a0.6_ph330_m140	150.0
GT0705	Eq_D7_q3.00_a0.6_ph030_m140	150.0
GT0706	Sq_D9.0_q2.50_a0.6_th090_m140	150.0
GT0707	Eq_D7_q3.00_a0.6_ph120_m140	150.0
GT0708	Eq_D7_q3.00_a0.6_ph210_m140	150.0
GT0709	Sq_D6.2_q3.00_a0.6_th210_m140	150.0
GT0710	Sq_D6.2_q3.00_a0.6_th180_m140	150.0
GT0712	Sq_D9.0_q2.50_a0.6_th000_m140	150.0
GT0713	Sq_D6.2_q3.00_a0.6_th240_m140	150.0
GT0714	Sq_D6.2_q3.00_a0.6_th270_m140	150.0
GT0715	Sq_D9.0_q2.50_a0.6_th060_m140	150.0
GT0717	D9_q1.1_a0.0_m160	150.0
GT0718	Sq_D9.0_q2.50_a0.6_th030_m140	150.0
GT0720	Sq_D6.2_q3.00_a0.6_th315_m140	150.0
GT0721	Sq_D6.2_q3.00_a0.6_th330_m140	150.0
GT0722	Sq_D6.2_q3.00_a0.6_th345_m140	150.0
GT0723	Sq_D6.2_q3.00_a0.6_th300_m140	150.0
GT0724	D8_q3.00_a0.5_0.0_th090_ph180_m120	150.0
GT0725	Sq_D9.0_q2.50_a0.6_th045_m140	150.0
GT0726	D8_q3.00_a0.5_0.0_th135_ph120_m120	150.0
GT0727	D11_q1.75_a0.0_m200	150.0
GT0728	Lq_D6.2_q3.00_a0.6_th210_m140	150.0
GT0729	Lq_D6.2_q3.00_a0.6_th240_m140	150.0
GT0730	D9_q1.4_a0.0_m160	150.0
GT0732	Lq_D6.2_q3.00_a0.6_th030_m140	150.0
GT0733	Lq_D6.2_q3.00_a0.6_th045_m140	150.0
GT0734	Lq_D6.2_q3.00_a0.6_th060_m140	150.0
GT0735	D8_q3.00_a0.5_0.0_th135_ph240_m120	150.0
GT0738	D11_q1.25_a0.0_m200	150.0
GT0739	D8_q3.00_a0.5_0.0_th060_ph135_m120	150.0
GT0740	D10_q7.00_a0.40_0.00_m320	150.0
GT0741	D8_q3.00_a0.5_0.0_th060_ph315_m120	150.0
GT0742	Oq_D9_q7.00_a0.6_th090_m320	150.0
GT0743	D8_q3.00_a0.5_0.0_th120_ph135_m120	150.0
GT0744	D8_q3.00_a0.5_0.0_th060_ph225_m120	150.0
GT0745	Oq_D9_q6.00_a0.6_th090_m320	150.0
GT0746	D8_q3.00_a0.5_0.0_th120_ph315_m120	150.0
GT0747	D8_q3.00_a0.5_0.0_th120_ph225_m120	150.0
GT0748	D9_q3.6_a0.0_m160	150.0
GT0749	D8_q2.00_a0.7_0.0_th045_ph000_m120	150.0
GT0750	D8_q2.00_a0.7_0.0_th045_ph120_m120	150.0
GT0754	D8_q2.00_a0.7_0.0_th060_ph045_m120	150.0
GT0756	D8_q2.00_a0.7_0.0_th045_ph240_m120	150.0
GT0757	D11_q2.25_a0.0_m200	150.0
GT0758	D9_q3.1_a0.0_m160	150.0
GT0759	D9_q3.2_a0.0_m160	150.0
GT0760	D9_q3.3_a0.0_m160	150.0
GT0761	D9_q3.4_a0.0_m160	150.0
GT0762	D8_q2.00_a0.7_0.0_th060_ph135_m120	150.0
GT0763	D8_q2.00_a0.7_0.0_th060_ph225_m120	150.0
GT0764	RO3_D10_q1.50_a0.60_oth.090_M120	150.0
GT0765	D10_q5.00_a-0.73_0.00_m240	150.0
GT0766	D8_q2.00_a0.7_0.0_th090_ph000_m120	150.0
GT0767	D8_q2.00_a0.7_0.0_th060_ph315_m120	150.0
GT0768	D10_q5.00_a-0.71_0.00_m240	150.0
GT0769	D10_q5.00_a-0.72_0.00_m240	150.0
GT0770	D10_q5.00_a-0.69_0.00_m240	150.0
GT0771	D10_q5.00_a-0.68_0.00_m240	150.0
GT0777	D9_q3.9_a0.0_m160	150.0
GT0778	D9_q3.7_a0.0_m160	150.0
GT0779	D10_q5.00_a-0.69273917_0.00_m280	150.0
GT0780	D9_q3.8_a0.0_m160	150.0
GT0781	D8_q2.00_a0.7_0.0_th090_ph120_m120	150.0
GT0787	D8_q2.00_a0.7_0.0_th090_ph060_m120	150.0
GT0791	D9_q4.3_a0.0_m160	150.0
GT0792	D8_q2.00_a0.7_0.0_th090_ph180_m120	150.0
GT0794	D8_q2.00_a0.7_0.0_th090_ph300_m120	150.0
GT0795	D9_q4.4_a0.0_m160	150.0
GT0796	D8_q2.00_a0.7_0.0_th090_ph240_m120	150.0
GT0797	D9_q4.1_a0.0_m160	150.0
GT0798	D9_q4.2_a0.0_m160	150.0
GT0799	D8_q2.00_a0.7_0.0_th120_ph045_m120	150.0
GT0800	D8_q2.00_a0.7_0.0_th120_ph135_m120	150.0
GT0801	D8_q2.00_a0.7_0.0_th120_ph315_m120	150.0
GT0803	ro_b5_a0.6_oth.000_M103	150.0
GT0805	ro_b5_a0.6_oth.120_M103	150.0
GT0807	ro_b5_a0.6_oth.240_M103	150.0
GT0808	D8_q2.00_a0.7_0.0_th120_ph225_m120	150.0
GT0809	D8_q2.00_a0.7_0.0_th135_ph120_m120	150.0
GT0810	D8_q2.00_a0.7_0.0_th135_ph000_m120	150.0
GT0818	EccQ_q7_c0.01_m320	150.0
GT0824	D9_q5.5_a0.0_Q20	150.0
GT0825	D8_q2.00_a0.7_0.0_th135_ph240_m120	150.0
GT0830	D09_q1.00_a0.35_Q20	150.0
GT0833	D10_q4.00_a0.8_th174_Q20	150.0
GT0834	D10_q7.00_a0.8_th168_Q20	150.0
GT0835	D11_q1.50_a-0.6_m200	150.0
GT0836	D11_q1.50_a-0.4_m200	150.0
GT0837	D11_q2.00_a-0.6_m200	150.0
GT0838	D11_q2.00_a-0.4_m200	150.0
GT0839	D11_q1.50_a-0.2_m200	150.0
GT0840	D11_q2.50_a-0.4_m200	150.0
GT0841	D11_q3.00_a-0.4_m200	150.0
GT0842	D11_q3.00_a-0.2_m200	150.0
GT0843	D11_q2.50_a-0.2_m200	150.0
GT0844	D11_q2.00_a-0.2_m200	150.0
GT0845	D11_q2.50_a-0.6_m200	150.0
GT0846	D11_q3.00_a-0.6_m200	150.0
GT0847	SO_D9_q1.5_th2_135_ph1_0_m120	150.0
GT0848	SO_D9_q1.5_th2_135_ph1_45_m140	150.0
GT0851	th_0_SSeq_D9_q2_m140	150.0
GT0852	th_180_SSeq_D9_q2_m140	150.0
GT0853	th_225_SSeq_D9_q2_m140	150.0
GT0854	th_315_SSeq_D9_q2_m140	150.0
GT0856	q2_Seff_D9_a_0.15_-0.6_th1_45_m140	150.0
GT0857	q3_Seff_D9_a_0.066667_-0.6_th1_45_m140	150.0
GT0858	SO_D9_q1.5_th2_135_ph1_135_m140	150.0
GT0859	q2_Seff_D9_a_-0.15_0.6_th1_225_m140	150.0
GT0860	D8_q1.0_a0.6_0.6_th90_0_r100_res140_CE	150.0
GT0861	D8_q1.0_a0.6_0.6_th90_135_r100_res140_CE	150.0
GT0862	D8_q1.0_a0.6_0.6_th90_180_r100_res140_CE	150.0
GT0863	D8_q1.0_a0.6_0.6_th90_225_r100_res140_CE	150.0
GT0864	D8_q1.0_a0.6_0.6_th90_270_r100_res140_CE	150.0
GT0865	D8_q1.0_a0.6_0.6_th90_315_r100_res140_CE	150.0
GT0866	D8_q1.0_a0.6_0.6_th90_45_r100_res140_CE	150.0
GT0867	D8_q1.0_a0.6_0.6_th90_90_r100_res140_CE	150.0
GT0868	th_45_SSeq_D9_q2_m140	150.0
GT0869	th_135_SSeq_D9_q2_m140	150.0
GT0870	SO_D9_q1.5_th2_135_ph1_90_m140	150.0
GT0871	SO_D9_q1.5_th2_135_ph1_180_m140	150.0
GT0872	q2_LL_D9_a0.6_th1_45_th2_225_m140	150.0
GT0873	q1.5_LL_D9_a0.6_th1_45_th2_225_m140	150.0
GT0874	q3_LL_D9_a0.6_th1_45_th2_225_m140	150.0
GT0875	q4_LL_D9_a0.6_th1_45_th2_225_m166	150.0
GT0876	q1.25_LL_D9_a0.6_th1_45_th2_225_m140	150.0
GT0877	q1.75_LL_D9_a0.6_th1_45_th2_225_m140	150.0
GT0878	q2.25_LL_D9_a0.6_th1_45_th2_225_m140	150.0
GT0879	q3.5_LL_D9_a0.6_th1_45_th2_225_m140	150.0
GT0880	q4.5_LL_D9_a0.6_th1_45_th2_225_m186	150.0
GT0881	q2.5_LL_D9_a0.6_th1_45_th2_225_m140	150.0
GT0882	q2.75_LL_D9_a0.6_th1_45_th2_225_m140	150.0
GT0883	q3.25_LL_D9_a0.6_th1_45_th2_225_m140	150.0
GT0884	q3.75_LL_D9_a0.6_th1_45_th2_225_m140	150.0
GT0885	q1_LL_D9_a0.6_th1_45_th2_225_m140	150.0
GT0886	q8_LL_D9_a0.6_th1_45_th2_225_m400	150.0
GT0887	q5_LL_D9_a0.6_th1_45_th2_225_m320	150.0
GT0888	q7_LL_D9_a0.6_th1_45_th2_225_m320	150.0
GT0889	q6_LL_D9_a0.6_th1_45_th2_225_m320	150.0
GT0890	D9_q2.0_a0.6_0.6_th0_r100_res140_CE	150.0
GT0891	D9_q2.0_a0.6_0.6_th135_r100_res140_CE	150.0
GT0893	D9_q2.0_a0.6_0.6_th225_r100_res140_CE	150.0
