ID 	 Tag 	 Time  
GT0780	D9_q3.8_a0.0_m160	134.60312499999662
GT0791	D9_q4.3_a0.0_m160	161.6031249999951
GT0795	D9_q4.4_a0.0_m160	161.70312499999505
GT0797	D9_q4.1_a0.0_m160	161.4031249999951
GT0798	D9_q4.2_a0.0_m160	161.4031249999951
GT0818	EccQ_q7_c0.01_m320	142.60156249999616
GT0824	D9_q5.5_a0.0_Q20	162.13846154299887
GT0898	GW15_D12_q1.2_a0.0_m140	159.34642858196787
GT0906	D9_q5.0_a0.0_Q24	161.000000042902
GT0370	D10_a0.0_q1.15_m103_Qs	145.8398437500005
GT0371	D10_a0.0_q1.30_m103_Qs	145.68484375000054
GT0372	D10_a0.0_q1.45_m103_Qs	145.5298437500005
GT0374	D10_a0.0_q1.60_m103_Qs	145.5298437500005
GT0376	D10_a0.0_q1.90_m103_Qs	145.68484375000054
GT0378	D10_a0.0_q2.05_m103_Qs	145.8398437500005
GT0379	D10_a0.0_q2.20_m103_Qs	145.68484375000054
GT0380	D10_a0.0_q2.35_m103_Qs	145.68484375000054
GT0565	D11_q2.50_a0.0_m200	149.6424999999984
GT0615	D9_q1.7_a0.0_m160	134.20312499999665
GT0617	D9_q2.1_a0.0_m160	134.5031249999966
GT0622	D9_q2.4_a0.0_m160	134.7031249999966
GT0651	D9_q2.6_a0.0_m160	134.90312499999658
GT0905	D9_q1.0_a0.0_m160	135.10312499999657
GT0760	D9_q3.3_a0.0_m160	135.0031249999966
GT0757	D11_q2.25_a0.0_m200	149.7224999999984
GT0748	D9_q3.6_a0.0_m160	134.7031249999966
GT0717	D9_q1.1_a0.0_m160	135.0031249999966
GT0653	D9_q2.8_a0.0_m160	135.0031249999966
GT0652	D9_q3.5_a0.0_m160	134.7031249999966
GT0448	D11_q1.00_a0.0_m240	149.66875003733475
GT0454	D11_q4.00_a0.0_m200	148.6824999999984
